Length,Sentence
44, My friend and her fiance had a really good idea . They have cut out pictures from catalogues and pasted them in a notebook . The picture are of things they want . People sign their name by the item they will buy . 
34," I believe some shows are quite informative and interesting . Take this show for example , it examines American xenophobia and how it might conflict with the American dream , with hilarious results . "
105," Wait , there ’ s more ! Then you need to introduce and describe your goods or services . What they are and how they are different from competitors ’ ? Then comes the hard part , a market analysis . You need to investigate and analyze hundreds of variables ! You need to take into consideration socioeconomic factors from GDP per capita to how many children on average the population has ! All this information is useful so that you can move on to your strategy and implementation stage , where you will describe in detail how you will actually execute your idea . "
50," At first , I'll write about my life there . Like interesting things on the campus , travel stories , special English words that I come across . Sometimes , I'll post my pictures on my blog so my friends and family can get to know how everything's going . "
10, I'd rather not . I don't like horror movies . 
15," Hello , Candy . My name is Jim White . Nice to meet you . "
28," That sounds like a good idea.The sky is clear , the sun is shining and there's a nice cool breeze , so it is not too hot . "
14," Thank you , but I hate having to leave here and working abroad . "
38," ZZZ means'sleepy or tired or bored ' , A / S / L is tricky , which is often used at first encounter . It's a three-word question , ' age , / sex / location ? ' "
36," I think so . After I jumped out of the plane , I realized that I should just enjoy life . Worrying about it or not doing things out of fear is just plain silly . "
9, You must have rolled over something just now . 
20," How do you do , Mr . Brown ? It ’ s a pleasure to get to know you . "
54," He is responsible to the board of directors for everything that happens in the company . He or she must give leadership to all company officers , as CEO is also responsible for providing the guidance of philosophy of the company , and acting as official representative , or face of the company . "
24," I tell ya , when I got the invite , it really threw me for a loop . You've done a complete 180 . "
30," Most of the time we were lucky , but once a tree from our front yard was ripped out by its roots and ended up in our living room . "
45, I've only seen one in my life . I was looking out the window . It was around two miles away . It was very interesting to watch.But it was heading toward my friend's house . So I quickly called them on the phone . 
12," From his looks , I'd say he's a man of character . "
17," Well I always hear it on the radio , so I started to get into it . "
16, I ’ m waiting for a bus and going for a walk in the park . 
17," Don't you notice that Bob has a mole on his face , but Tom does not . "
12," Seeing as they were late , that won't be a problem . "
20, In Wimbledon - quite close to the tennis courts actually . Which is very nice because I love tennis . 
24," Think , in some way it is an act of God , but in another way , it just is caused by us . "
14," Not so good , though his nephew took him to hospital in time . "
11,Watch out ! You're too close to the fire place . 
36,"You talked like the Terminator for two months ? Wow , I think you liked that movie even more than I liked ' Titanic . ' Why did you like ' Terminator ' so much ? "
40, Are you sure ? I've read a lot about palmistry and I've been able to tell a lot of accurate things about a person from his palm . Do you want me to take a look at your hand ? 
14,I heard through the grapevine that Michael probably become the new sales manager . 
26," Her birthday is on the 9th . We ’ re going to have dinner at a Mexican restaurant , and then maybe go out dancing . "
22," My birthday is in June , when we are always on holiday . So my family often forgets my birthday too . "
36," The help is mutual . I must thank you to see me off . My wife and I will be looking forward to seeing you . You will come to see us , won't you ? "
23,"How do you usually spend your leisure time ? I mean , do you have any special interests out of your job ? "
16," You see , I bought it for my husband , but he doesn't like it . "
24," well , this might be silly . But I just can't get him off my mind . And I can't help missing him . "
43," the child must feel very longly . My younger brother is 10 years younger than me . Before he was born , I used to be the only child and always dreamed that I would have a younger sister or brother one da "
21," Most people grow accustomed to the climate , but there are many others who complain about it all the time . "
30, What ’ s the point ? We always make a new year ’ s resolution and by February we will have forgotten about it . It ’ s pointless . 
14, I ’ m not interested in it . Are you keen on it ? 
5,Bye . Take care . 
16,I'm afraid I've had a terrible row with my boss . What shall I do ? 
25," Yes , but my house has large windows and so gets lots of sun . And it has a small balcony at the top . "
22," That's great . We can also take the dragon kite with us . After the picnic , we can fly it . "
14, I see . What about transport ? How does Shanghai compare to London ? 
13,"Mom , can you talk about the philosophy of life with me ? "
17," No , that ’ s not true . Many adults like the Harry potter books too . "
126," Oh , I see . Yeah . Some people like traveling , some don ’ t . My husband didn ’ t like traveling at first , either . He said what ’ s the use of traveling ? A waste of money and a waste of time.At last I got him on the move . After all , he loved me . We went to Bali , Indonesia , one of the most beautiful places in the world . That trip left a very deep impression on him . Since then whenever we have holidays and money , we ’ d like to patronize the travel agency . Isn ’ t it a bit dull to shut yourself at one place all your life ? "
21, As of today it is . Memorial Day marks the end of the school year and the beginning of summer . 
17, Come on ! This is work . Don't you think that would be a little weird ? 
9,Would you like to join the drama club ? 
34," I wanted to , but I ran into this foxy lady that just moved to my block ! I was chatting her up a bit and then we mellowed out at her place . "
26, I was very tired after working all week . Sometimes on the weekend I don't have enough energy to go out to a movie theater . 
5,I'm not a VIP . 
51," That happens in many places . In my city , there is a very good drug rehabilitation program . The police and courts are also tough on people who commit crimes , but I don ’ t know if that ’ s the reason for our relatively low crime rate . "
31," That would be great ! Actually , can I get your phone number , Ella ? That ’ s assuming you don ’ t mind if I call you sometime . "
16," Big talk , I ’ d say . He does not have a girlfriend yet . "
20,My son closed his ear to what I said . I don ’ t know what I should do . 
6, I'm glad to hear that . 
55," I think you ’ ll find that many people believe what they read in gossip columns . You ’ d also have to be very careful about every word you said . If you appeared on a chat show and said something silly , it would be reported in all the newspapers and magazines . "
35, I ’ Ve cut it upland come to the conclusion that hi is actually sick of Jenny ’ s brother . But he likes Jenny . She is a big apple in his eye . 
24," I quite agree with you . They are terrible . They are complete waste of time , but my wife disagrees with me . "
23, I went all over the world . It was the best year of my life . Where did you go to school ? 
27," Oh , no , I'm fine.My refrigerator is piled up with food.But if it's not too much trouble for you . I'd like something to read . "
29," It ’ s interesting that Americans work very hard at their jobs , do not take naps during the day , and yet they can be so heavy . "
22," Well , it would give me a chance to grow , but I am wondering if I would like the job . "
12," Yeah , because he just killed a man in cold blood . "
24, I think this summer is a good time to visit Berlin . It's a beautiful place and the people there are very nice . 
39," Well , I just spend 15 minutes as so checking my stock bonds and booking an air ticket for my mother . Anyway , I have done all my work and it is about the time to leave . "
20, It's easy . You only have to search the internet in order to get the information you're looking for . 
19,The principal just announced that Dr . Smith is going to take over as dean of our department . 
19," Well , my whole family is in the United States now , but we're from Costa Rica originally . "
15,Flight BE407 to Rome is delayed . Will passengers please wait in the lounge . 
8," No , after you . Ladies first . "
40,"Hi , Tina , I've got good news . I have successfully passed the first two rounds of interview with ABC Company . They informed me to go to the final round next Monday . It looks very promising . "
18, I once read a story about a person who talked to animals . It was very interesting . 
56," The biggest city ? The biggest city is Sydney , then it's followed by Melbourne and then Brisbane and then I think it's Perth . But most of the big cities are on the East Coast of Australia . And Perth is on the west coast , but sort of of out there by itself . "
8, It's not like him to be late . 
27, We are leaving on our science field trip at 8 a . m . next Monday . Do you have something to write that down on ? 
8,I've just been a little depressed lately . 
34," My parents wanted me to stay in Beijing , but I decided to go back to England . I graduated from University of Newcastle upon Tyne with a degree in Cross Culture Communication . "
18," Yes , I'm very pleased . I've just got two tickets to see the Olympic opening ceremony . "
9,I don't think the lecture is very interesting . 
32," Yes , I know I'm wrong . But I swear that the affair lasts only for two months . And I still love my wife . I couldn't live without her . "
17," I know what love it . When I was young , I felt the same way . "
37, ok . But can I trade my seat with you ? I prefer the one near the window . I'm a terrible flyer . I always get airsick and can never relax until after I've landed . 
10,I want to have a complete relaxation this weekend . 
11, Do you watch it or do you still play it ? 
23, I think you need to update your CV . Bring it over to my office tomorrow and I'll help you with it . 
9, Yes.She teaches our class three times a week . 
13," If the Phoenix beats the Rocket , it will enter the final . "
19, Not bad . Let's find a table and sit down . We have a lot to talk about . 
26," Well , I have to take biology , chemistry , maps and physics . What you need is a good introductory course for non-science majors . "
11, Yes . I ’ Ve just come back from Scotland . 
50," We have to participate in training after a busy day and during the weekend . You know , after work all you want to do is throw yourself onto your bed . And during the Weekend , you just want to stay at home and enjoy a family dinner . "
79," It's not just about the things that you learn , you know ... seminars are a really great opportunity to mingle and network with professionals in our industry from all over the nation . You can learn a few things , but more importantly , you rub shoulders with the business leaders and make contacts that could lead to potential sales or partnerships in the future . The social mixers are always more important than the seminars anyway . "
16, You have done a lot of traveling . I'll bet you've learned quite a bit . 
27," Oh , speaking of the conductor , he is indeed a genius.He did a perfect job.His name is Menuhin , a descendent of Russian American immigrants . "
43," It ’ s a lot harder than I imagined . There are many things that you have to to arrange . I booked a time and date with the funeral home , but I still have a lot of things to do . "
11, Then let me take you out to dinner to celebrate . 
7,You can't beat me at tennis . 
13,"Song , I hate to say goodbye , but I have to . "
14," No , it sounds wrong . He was born in the 16th century . "
11, Not very well . He was white about the gills . 
9, Have you sent out invitations by our party ? 
18, The Ukraine team took the lead by 3 to 1 at the end of the first half . 
26, ok . This Sony model is their newest and our most popular camcorder . Why don't you see if you like the way it feel ? 
15, Elvin doesn't want any programming help . He wants all the glory for himself . 
76," It ’ s getting worse . Now he ’ s eating me out of house and home . I ’ Ve tried talking to him but it all goes in one ear and out the other . He makes himself at home , which is fine . But what really gets me is that yesterday he walked into the living room in the raw and I had company over ! That was the last straw . "
13,Why don't you come round for a meal one evening next week ? 
12," I'm sorry , I didn't mean to forget our wedding anniversary . "
21," Good idea . Oh , by the way , would you please pick me up after the party , honey ? "
10, But Mrs.Smith hired him to find her lost son . 
39," Ok , how does this sound , “ I was so enchanted by your beauty that I ran into that wall over there . So I am going to need your name and number for insurance purposes . ” "
49,"At their last meeting , the stockholders voted unanimously to block the merger of our company with Blycore . All the executive committee was in favor of the merger ... I don't understand how the stockholders could have so much power to throw a wrench in the plans ... "
21," Yes , I did . I enjoyed it a lot.There was a folk singer , a violinist and a pianist . "
16, Sometimes I think Oscars are only awarded to movies that make a lot of money . 
15," Actually , that's what a lot of parents in Taiwan say to their kids . "
52," Well , first of all , I ’ Ve decided to stop smoking . It ’ s not that I ’ m pinching pennies or anything , it ’ s just that I ’ Ve been smoking since I was sixteen , and I think it ’ s time to stop . "
9, I should finish it as soon as possible . 
16, No way . Her old man is rich . He buys her anything she wants . 
49," I have never thought that swimming can bring us so many benefits . I only know that swimming in great waves and deep running water can train people's spirits , and enable people to be fearless of the hardships , dangers and difficulties and become brave and staunch . "
46," You can ’ t compare apples and oranges . I believe that both topics are important and that we can ’ t ignore them , the mistreatment of animals can cause a great environmental imbalance . I believe that governments should prohibit activities like poaching . "
44," Yes , I do . I think we can compete . I think we can make a name for ourselves.It will be hard at first . But if we develop a good advertising campaign , I think we can break into the market . "
52," They ’ re ok . I ask them to swim 500 meters each day . That ’ s 20 lengths of the swimming pool . They ’ re not very fast , but that ’ s ok . I just want them to build their strength up and keep in shape . "
15," Five . Besides my parents and me , there are my brother and sister . "
30," The Giants are up by three points because of the field goal they kicked , but the Redskins have the ball and there pretty close to the end zone . "
20," He's the US president , who walked five miles just to give a lady her change , isn't he ? "
40," There ’ s some paperwork , but most of the time we put any information onto computers . Then we can send information to each other by email or across the network . Do you work in a cubicle ? "
7, Don't shoot . I give up . 
18, Yeah . But his relation with Sallycome to a sticky end and was found by his wife . 
29," Fine , thanks . I ’ m having several friends over for dinner this Saturday . And I was wondering if you have the time to join us . "
60," Nothing ! Anyway , you ’ re right , there ’ s no reason this has to be nasty . My lawyer tells me you ’ Ve accepted our alimony proposal and the division of property , as well as the custody agreement-I keep the cat and you get the dog . So that ’ s done ... finally . "
24," You got up so late today . You have , I think . Turn on the TV and set your watch by it . "
21, Good.If you happen to see Jim and Bob on the way see if they would like a game of singsong . 
12, You're absolutely right ! That's the very figure I like best . 
26, Someone brings a truck to the game and we have a barbecue right there in the parking lot out of the back of the truck ! 
13," You can do it right now , if you ’ d like . "
19,"I ’ Ve got this really neat idea , you can hire a car and drive straight there . "
14,Would you please put that cigarette out ? I get sick on it . 
17,"I really hate to say this , but don't go away mad , just go away . "
14, How nice seeing the sun back again ! The air is so fresh . 
22, Next Saturday ? I ’ m sorry . I ’ Ve promised to go to a Chinese Opera with my daughter . 
19," Are you sure ? What about Carl Lewis ? He won four golds , didn ’ t he ? "
15,Will you have time this Saturday evening to go to the cinema with me ? 
11,"Come on , fellows.Let ' s enjoy my wife's cooking ! "
12, I am going to the mountains with my family this weekend . 
23, My older sister Judy will be here soon to help . She already has a boy and a girl of her own ... 
34," As you know , I am a sports fan . And these papers are famous for their sports section . So I will feel relaxed after grasping some information I am interested in . "
15, Let's hear the weather report later . What's the weather like in your hometown ? 
27, Sometimes . News happened out of expectation . Sometimes I have to get up in the early morning while I can't sleep for editing and interviewing . 
29, I'm glad you like it.The bell is on the bedside.Just ring if you want anything.The room attendant speaks a little English.So I don't think you'll have any trouble . 
6," Aw , shucks , ma'am . "
18," But really , maybe this can work . Everyone loves coffee , and everyone needs motor oil . "
41," There are restaurants with food from all over the world . We have a small china-town near the city centre . There are many Indian , thai , and Italian restaurants all over the city centre . There are many s "
43, I had a drop too much last night . I attended a banquet given by a Chinese colleague of mine . And it was startling for me to find that people are forced to drink against their will on a Chinese table . 
17," That ’ s really a shame . By the way , who will be the bridesmaid ? "
16," No , thank you . Please tell him to phone me when he comes back . "
15," Who're the producer , the director , the stars , heroine and the hero ? "
23, Good . If you happen to see Jim and Bob on the way see if they would like a game of singsong . 
27," I am fine . In fact , I don't have a scratch on me or my vehicle . But the other guy is in critical condition . "
21, Yes . I can see . The summer heat is over . And the winter cold is still far away . 
12,Tom set the whole country by the ears with his discovery . 
11," Perfect . And I like her charming eyes , too . "
12, Sure it is . Why don't we go to a park ? 
8,Look how fast that car can accelerate ! 
10, I've been good . I'm in school right now . 
12," Oh , what does he look like ? Is he tall ? "
19, But I don ’ t like anyone who would drive me crazy by telling me what to do . 
14, That is a lot of friends . Do you have a best friend ? 
29,I have talked a lot about your restaurant business and your friends with my friends . One of my friends seems to be on good terms with Sue . 
41,Give me your hand . ( takes Rose's hand ) Close your eyes . Go on . ( Rose closes her eyes ) Step up . Now hold on to the rail . Keep your eyes closed ; don't peek . 
7,My uncle passed away last night . 
30," Yeah , I don't mind it either . We ’ ll both end up rich slobs and not need it , but what if we do , you know ? "
38," Yeah , yeah , it was really interesting . You know , I'm in a bit of a hurry , but here ’ s my card . We should definitely meet up again and continue our discussion . "
10,"Can I borrow one of your pens , Amy ? "
33," Well , the minister at my church told us about it , and it seemed interesting . I thought I'd try it once , and if I didn't like it I'd stop . "
16,"Wang , I'd like you to meet my friend . Dou , this is Wang . "
29," Not a sound on the city streets , just the beat of my own heart , I think that ’ s how it goes , something like that . "
6,I'll come see you tomorrow . 
71," Yes , I have a very special one . I will be doing volunteer work in a zoo for two weeks . A friend of mine working there told me the other day that they were in need of some volunteer keepers . I was very interested . So I asked him to get me the application form . Lucky , my application was approved by the manager very soon . "
21, Of course I'm pale . It's just now the beginning of spring . I don't have my summer tan yet . 
29, Yes . I ’ Ve finished making the birthday cake and I ’ Ve put all the things on the table . Did you find the party hats ? 
17, There ’ s a concert tonight . Would you like to go and listen to it ? 
9,"Mum , can I finish my homework later ? "
14," Yes , I like ping-pong very much , but I can't play well . "
11, Is she really ? I can ’ t believe it ! 
10," Of course , but I'll have to go now . "
12," I like to play golf , play badminton or crack jokes . "
9," Yes , he is running for class president . "
17," My favorite , Mexican . And I've heard that the head chef is from San Paulo . "
47," To thank you for helping me at work last week . If you would not have been so kind , I would not have been able to pick my parents from the airport . You really did me a big favor . Thank you so much . "
18," Cheer up ! Don't let me down . We all make mistakes , and that is life . "
12,I'm afraid I can't go to the pictures with you tomorrow . 
21," Now , close your eyes . ( Mum closes her eyes and Steven puts the present in her hand . ) "
17," Indeed.He ' s strict with himself , too.We can see every lecture of his is well-prepared . "
7,I'm so glad to meet you . 
14,"You must be annoyed about your boyfriend ’ s leaving you , huh ? "
14, I came to see my uncle . He lives in the next block . 
29, Of course it depends on what you are going to do when you leave college . Have you beside what you are going to do when you graduated ? 
16," well , if you can wait until tomorrow night , I'll go with you then . "
18," Here is my phone number . If you need anyone to show you around , call me . "
33," That sounds so romantic ! Jack and I were hoping to get married in Europe next year , but we had to postpone our plans . We just don't have the money ! "
36," It has a built-in camera unit that takes digital color stills . It also plays MP3 files , which I can save on media cards and then transfer to the hard drive of my computer . "
76," Well , for one thing , she's gorgeous . She's so upbeat and sweet . Who doesn't like her ? Oh , I don't know . All I do know is that I think we have great chemistry together . But , what if I'm wrong . Maybe she's just been nice to me out of courtesy and doesn't think of me that way . Oh ... forget it . This was a bad idea . "
42," I wouldn ’ t exactly characterize it in that way . I think something happened . Something terrible and unexpected that made it impossible for him to ... what if he showed up , took one look at me and left ? "
26, He is a nice guy and very considerate . I am impressed with how smart he is and he has a great sense of humor . 
13, I don't know what to say . I'd like to replace it . 
11,I'm so angry at Bob for buying a new bike . 
18, Maybe it's just a blessing in disguise . I've been wanting to try a new place anyway . 
35," The man asked where we want to go , then he type out the information on the form and waited for a reply . A few moment later , he gave us two tickets . "
17, So he will make a perfect husband . Make sure you will be here next Monday . 
11," I love it ! Darling , you ’ re kind . "
26," Goofed off ? Maybe , but I'm not a clock-watcher . I finished doing what I should do and then knock off an hour earlier . "
23," No no , I just changed my eating habits . I eat a balance meal . and I eat less than before . "
12," Say , how would you like to be a dress designer ? "
16," You know , just giving me lots to do . I'm really busy right now . "
51, I think I might move in with my parents for a couple of months until I can find something . You know how hard it is to find a decent place around here . I ’ m gonna have to put most of my stuff in storage for a while . 
47," I think the government can afford it . Besides , there are many advantages . Homeless people would find it easier to get jobs if they had an address . They would learn some useful skill for finding jobs in the construction industry or home improvement . "
13," Oh , really , I thought it was a sign of rain . "
27," Yes , it suits you very well . It certainly is unique . I don ’ t think I ’ Ve seen anything like it before . "
32," We spent that afternoon walking around a flea market . We had a few coffees , watched a movie , and went for a swim in the pool at the hotel . "
15, Thank you . It has been handed down in my family for three generations . 
12, He ’ s doing fine . A new broom sweeps clean . 
13, Just call me Alex . Alex and Alexander are the same thing . 
18, The Ukraine team took the lead by 3 to 1 at the end of the first half . 
21," We'll have rice dumplings . What's more , there are also dragon boat matches in some places of southern China . "
29," I think you are absolutely right . Actually , my father proposed to my mother after knowing her only two weeks . They got married a month later . "
26," As a matter of fact , I would like to work in South America . So some Latin language like Spanish or Portuguese would work . "
25," I know , but I've done that so Ay times . It's getting old . The leading guy is always the same macho A . "
34," Well , I ’ m not too sure , actually . I ’ Ve got a lot going on the next couple of weeks . Why don ’ t I call you later ? "
48," I prefer summer , especially the summer evenings . When the sun comes down , it is so nice to take a walk and breathe . After a rain shower , the smell of the air is refreshing . It is also a best reason for ice-cream . "
21," This is my first , I only met jane last week . she and I teach at the same school . "
18,Remember that old man who used to beg for money on the street across from our house ? 
7,Sorry . I've got to run . 
35," No , there's no double six at the end of the number . It's just zero , double seven , eight , seven , three , six , seven , six , double eight . "
65," Paranoid ? I ’ m not paranoid ! I ’ m cautious ! You see Dan , we have to be on guard at all time ! People just invade your privacy as if they knew you ! Telemarketers , solicitors , even your bank ! They have way too much information ! I like to keep everything on a need to know basis . "
15, That's all right . But why were you so rude to me at lunch . 
12," Great ! Work is really busy now , but it's fun . "
30, That's a good idea . I haven't been in a while and I need to get a new backpack . The old one is hanging on by a thread ! 
10," Yes , the teacher says recitation is real good . "
14," Sure he is . Winter swimming does good to health , I hear . "
8, Are you really interested in doing something ? 
25," Of course . That's why I bought this type . I can change its case frequently , so it is novel to use it . "
22," I'd love to go out with you , but I'm sorry I'm busy tonight , but I'd like a rain check . "
20, Not only that . The job I ’ m doing now is the most boring job you can imagine . 
9," 0h , that would be nice of you . "
20, So I ’ Ve got two tickets to the latest show but I need a little favor from you . 
34," ' The sound of music ' . This music is known by everybody and is suitable for all ages . It is about a happy family without sex , violence or bad language . "
19, Because I don ’ t think my husband would like it . Thank you for inviting me anyway . 
23," He's lazy . I tried being a good host , but if you give him an inch , he'll take a mile . "
22, I guess it Is Mrs Hill . She sued for divorce on the grounds of her husband's misconduct with his secretary . 
19," I have asked for a talk again , but she refused and said she wanted to be quiet . "
13, Thank you for saying that . It's a present from my girlfriend . 
39, Mr . : The school parking lot is not big enough for all the school buses to come in at one time . So only half the buses come in first to pick up the first wave's students . 
82, That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there . Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . 
17, Not yet . You should stand still for another few minutes . Late-comers must be recorded . 
12,Are you looking forward to seeing that big concert next week ? 
30," That all depends on what you like to do . For example , I like to doodle on the notepad , so I'm thinking about doing some real drawings . "
25, I was a naughty boy and I played hooky . So the school gave me a punishment to clear the classroom for a week . 
9,How do you like my new sports car ? 
34," Oh , I don't know . I'd buy a big house with a garden for my wife and kids , I suppose . But it's difficult to imagine having a lot of money . "
40, I ’ m fond of snakes . I think they ’ re great . I agree with you about spiders though . I think spiders are horrible . I think it ’ s because they have so many legs . 
13,"I hear your sister has had an accident , is it true ? "
12," A glass of white wine would be fine , thank you . "
31,My son is alway complaining that I dump on him . He was very rude and told me to mind my own business . I cannot put up with that . 
40," If you decide to put a limit on the amount of tv they can watch , remember to have something else for them to do . If you don ’ t , they ’ ll get bored and misbehave . "
23,Did you meet the new girl in our sales department . She is taking the place of Maggie during her alternative leave . 
26," Oh , no . You can register for free . Just go to the yahoo website and it will tell you how to do it . "
10, What a bone head ! Be careful next time . 
53," I mean , I understand that . But the speed of the conversation got faster and faster , until it seemed to me that they would fight . My perception of the tone was that it was a violent shouting match . The truth was that it was a perfectly normal conversation . "
8,That guy's manner really turns me off . 
11, You can't say that ! He's a very knowledgeable person . 
20, No . As far as I can remember he was supposed to be on a business trip to Lisbon . 
22," What if there is no chance ? I mean what if you don't have a partner , what will you do ? "
8," You made a good choice , then ? "
67," I've never had one person that I'd idolized . The comparisons to Jul-ia Roberts are incredibly flattering . I don't really know who I would compare myself to . I'd like to be a combination of a lot of people . A little bit of everything , really . I haven't quite figured out where my strengths are yet , and I've definitely found my weaknesses . "
25," It depends . In some poor , underdeveloped areas , children's education is a problem . Many kids cannot afford to go to school . "
21, How can you do so ? Perhaps something is wrong with him . Let ’ s go and see him . 
17, Oh I see . That ’ s nice . Did you meet your husband at work ? 
45," I know you are keen on photography . It ’ s very useful for you to be able to download photos from your digital camera . Then you attach the picture files to emails and send them to anyone , anywhere , at anytime ! "
17," Oh , it ’ s lovely . Think of the nasty weather we had last week . "
8, Can you believe I'm going to America ? 
14,My wife is really a chatter box . It ’ s so boring . 
28, And I ’ m so honored that you would want to be with me because you would never be with anyone who wasn ’ t truly worthy . 
17, But she feels like having no appetite at all if she stays at home all day . 
18," Oh , yes , it is . Thank you . I was looking for it just now . "
12,It's very thoughtful of you to invite me to your wedding . 
32," That is true . Speaking of cavities , I am starting to feel something is wrong with my teeth now . Let's get more strawberry chocolate drops before we go home . "
14, There's a game on tonight . You want to watch it with me ? 
17," I hope it won ’ t be too hot , I can ’ t stand the heat "
16,"You are very late , but I was on pins and needles the whole time . "
17,Look at these newlyweds . They seem as if they are on top of the world . 
40," But I should have aced it . I mean I finished the paper so quickly , thinking it's a piece of cake . But when I knew my result , I was like what ? That can't be true ! "
15," Oh , wow ! It's really him ! Who is that woman he's with ? "
20," Well , all the brothers and sisters get together and fill the Christmas stockings for the litt 1e kids . "
42," Listen , Annie . You shouldn't worry about Mr . Drummond.He is a very good man to work for . He is not sexist at all.He appreciates people for their ideas.And he is willing to take suggestions from men or women . "
34," you can say that again , Jerry . And I'm sure you're high in both of them . With a little more time cracking the books , you can also get high marks . "
34," I remember the first time I went . My back was sore , I couldn't sit down because it hurt my butt , and my legs would cramp if I walked too fast . "
32," Yeah . And I have 5 credits to spare . I only needed to take 10 credits over the summer , but I took 15 because the price was the same . "
28, I have told you that I don ’ t need them any more . The thing that really annoys me is that you played dumb with me . 
16," Yes , I ’ m afraid I am . My husband is a smoker too . "
22," I'd much rather buy expensive but good quality clothing , because it is not only nice but lasts a long time . "
15," That's too bad , anyway , I'm sure things will turn around next semester . "
23," Well , Pam Franklin lives next door to us . By the way , can I go to her house this Saturday ? "
19," That's a hard time . The air is cold and damp , and the road is often icy . "
19, Thank you for your hospitality . I hope I didn't cause you too much trouble during my stay . 
12," All right . By the way , do you often dance ? "
31," Well , I need to change the shoes I bought from Nasi . They are too small . I want to ask them whether they come in a larger size . "
8," Yes , let's get something to eat . "
37," What would you do with all the animals ? You couldn ’ t just let them go . Besides , some people would still hunt them . Meat has become an integral part of our diet . "
6,I'll be seeing you around . 
20," What a creep ! Phony good luck e-mails are one thing , but sexual harassment is crossing the line . "
23," Because if you drink a kind of tea which has been prepared for some time before , it will do you harm . "
20,I just heard your boy had taken the first place in the history test . He is super cool . 
15," Oh , I don't like that Restaurant . I don't want to go there . "
37," You're right . I should talk to him . Sometimes , it's not easy being a parent . Thanks . It helps to get it off my chest . You're always so easy to talk to . "
17," No problem . However , maybe I should come early to help you prepare the dinner . "
18, Good idea ! I finish work at five . Why don ’ t we meet at six ? 
27," That would be great . Actually , can I get your phone number , Ella ? That's assuming you don't mind if I call you sometime . "
25, She's been good . She is in grade one in Joy Chain high school . And she dreams to be a volunteer in 2008 . 
31, I could not and can ’ t make out the reason why she would set her heart on a man like Dick . He plays the field with many girls . 
21," Oh , that ’ s a nice idea . Well , it ’ s fine if you take our picture . "
30," I was just there a couple of days ago . You know , you should go down there too . They have a lot of stylish clothes on sale . "
27," Very well , thanks . Nice to see you again . I haven't seen you for a long time . What have you been doing lately ? "
14,"Mom , look , that cake looks delicious . My mouth is watering . "
10, That's incredible ! She has such a sharp figure . 
13, I have to go now . I don't want to be late . 
29," Oh , hi Jeremy . No please , go ahead . So how are you , Jeremy ? I was talking to Linda about you only last week . "
15, I like almost all kinds of music . But I like country music best . 
9, You will need to pay for the damage . 
13," Hi , Randy . What are you going to do this weekend ? "
25, Don't mention it . I lost a bunch of money on it this year . I think it is on the brink of bankruptcy . 
9, How long do you have to be there ? 
15," Yes , but he ’ s got a wife and 3 children as well . "
36," Well , I agree with you . I'd rather think that the butterflies are flying around in the mountains . I just wonder if they really catch so many that it affects the butterfly population . "
3,What's new ? 
19," You won a lottery ? Don ’ t beat around the bush , just tell me , please . "
13, Let me take a look . Maybe I can figure it out . 
28," Yes , I ’ Ve been got all his albums and most of his films on DVD . I adore him . He ’ s my idol . "
16,"What would you like to have in your breakfast , bread , egg or sandwiches ? "
38, I know what the characters on the paintings mean . I think Chinese characters look very artistic . It ’ s said that the way they are written can give insight into the artist ’ s character . 
18," Yes , of course . This is really a nice party with wonderful people and lovely wines . "
16, I think there's too much violence and it did no good to my little boy . 
19, There are clubs for beginners . It's cheaper to buy those rather than rent them a few times . 
38," Well , in the first year of our marriage , we had great difficulties in getting along . The things that are important to me are not important to him . We had a lot of conflicts . "
24,"What do you mean his grandmothers are already dead ? Wait a minute , you don't think he's avoiding me , do you ? "
30,"How do you do , Mr.Smith ? This is Lili . I'm calling to thank you for the wonderful dinner we had yesterday . I enjoyed it very much . "
32," Yes . There is . it has several sections , so it ’ s quite a read ! It usually takes me a few hours to read it on Sunday morning . "
48," Well , generally speaking , if you want to change someone ’ s mind or understand his position , you have to put yourself in his shoes . Understand his need and the cost for his need . And then you work together to find a solution . "
34," Yes , there is one behind our building . And you can play tennis there . But if you want to play tennis there , they will change you 30 Yuan per hour . "
17, I ’ Ve done that . The doctor advised me to cut out smoking and drinking . 
13, He's out of the hospital and up and about again at last . 
34," That's for sure . You know , it's really amazing to be in the best concert hall , listening to the performance by the best orchestra . I had the greatest time ever . "
14, Do you have any idea if the parking structure has any spaces left ? 
79," We could divide into five parts . There ’ s the northeast , which is mild in summer and very cold in winter . Then there is the northwest , which is largely desert . Tillet is famous for its mountainous climate . The rest of the country can be roughly divided into two parts . One is temperate-mild in winter and warm in summer . Then , in the south it is hot most of the year . "
13," Yeah , well , I fill you in one the details later . "
28," You mean Tony is the victim ? No , I don ’ t think so . He ’ s equally responsible because he tried to overtake you . "
14, Really ? I'm surprised . I didn't know his English was that good . 
19,"He's honest , hardworking and responsible . I simply can't find any shortcoming of his as an employee . "
10,"Paul , let's go and see Grandpa this afternoon . "
